Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable,F1_Score
?b  ex:country  ?f  ?a  ex:countryOrigin  ?f   ,?a  ex:launchSite  ?b,0.0123675,0.000000525,0.000000561,7,13324774,12471032,?a,1.12195E-06
?b  ex:country  ?f  ?a  ex:location  ?f   ,?a  ex:isPartOfWineRegion  ?b,0.0286976,0.000000008,0.000000593,13,1578984168,21938597,?a,1.18598E-06
?b  ex:country  ?f  ?a  ex:locatedInArea  ?f   ,?a  ex:firstAscentPerson  ?b,0.0108359,0.000000034,0.000000652,7,203764351,10737543,?a,1.30392E-06
?b  ex:country  ?f  ?a  ex:sourceCountry  ?f   ,?a  ex:sourceCountry  ?b,0.0154075,0.000000767,0.000000767,197,256822627,256822627,?a,1.53392E-06
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:dean  ?b,0.0155902,0.000000001,0.000001001,7,5357609746,6992630,?a,2.00187E-06
?b  ex:country  ?f  ?a  ex:location  ?f   ,?a  ex:followingEvent  ?b,0.0106624,0.000000021,0.000001333,33,1578984168,24763924,?a,2.66567E-06
?a  ex:language  ?f  ?b  ex:language  ?f   ,?a  ex:notableWork  ?b,0.014627,0.000000037,0.000001657,60,1608619700,36213033,?b,3.31362E-06
?b  ex:birthPlace  ?f  ?a  ex:locatedInArea  ?f   ,?a  ex:firstAscentPerson  ?b,0.0139319,0.000000111,0.000002577,9,80953727,3492940,?a,5.15305E-06
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:formerCoach  ?b,0.0112613,0.000000004,0.000002693,20,5357609746,7426976,?a,5.38471E-06
?b  ex:language  ?f  ?a  ex:originalLanguage  ?f   ,?a  ex:premierePlace  ?b,0.0150517,0.000002465,0.000002832,16,6489934,5650352,?a,5.66293E-06
?b  ex:birthPlace  ?f  ?a  ex:location  ?f   ,?a  ex:engineer  ?b,0.0100503,0.000000003,0.000003055,2,589199304,654703,?a,6.10814E-06
?b  ex:country  ?f  ?a  ex:stateOfOrigin  ?f   ,?a  ex:employer  ?b,0.047567,0.000000294,0.000003446,174,591765282,50498726,?a,6.8915E-06
?b  ex:country  ?f  ?a  ex:nationality  ?f   ,?a  ex:employer  ?b,0.047567,0.000000076,0.000003446,174,2279486230,50498726,?a,6.8915E-06
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:foundingPerson  ?b,0.0328947,0.000000001,0.000003561,5,5357609746,1404178,?a,7.12123E-06
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:coach  ?b,0.0141844,0.000000004,0.000003578,24,5357609746,6707501,?a,7.1542E-06
?a  ex:country  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:illustrator  ?b,0.0120167,0.000000016,0.000003756,23,1474613628,6123838,?a,7.50965E-06
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:foundingPerson  ?b,0.0197368,0.000000001,0.000004171,3,2279486230,719170,?a,8.34024E-06
?b  ex:country  ?f  ?a  ex:headquarter  ?f   ,?a  ex:hubAirport  ?b,0.01984,0.000000339,0.00000427,62,182916061,14518671,?a,8.53816E-06
?a  ex:country  ?f  ?b  ex:location  ?f   ,?a  ex:garrison  ?b,0.0110855,0.000000049,0.000004281,77,1578984168,17988089,?a,8.5587E-06
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:saint  ?b,0.0276907,0.00000001,0.000004457,53,5357609746,11892570,?a,8.91257E-06
?b  ex:birthPlace  ?f  ?a  ex:location  ?f   ,?a  ex:poleDriver  ?b,0.0172249,0.000000031,0.000004549,18,589199304,3957059,?a,9.0956E-06
?a  ex:countryOrigin  ?f  ?b  ex:location  ?f   ,?a  ex:launchSite  ?b,0.0106007,0.000004333,0.00000462,6,1384703,1298660,?a,9.23597E-06
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:illustrator  ?b,0.0548589,0.00000002,0.000004845,105,5357609746,21670978,?a,9.68914E-06
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:secondCommander  ?b,0.050193,0.000000002,0.000004875,13,5357609746,2666647,?a,9.74905E-06
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:associate  ?b,0.0119695,0.000000002,0.000004921,11,5357609746,2235093,?b,9.83796E-06
?a  ex:locatedInArea  ?f  ?b  ex:nationality  ?f   ,?a  ex:firstAscentPerson  ?b,0.0108359,0.000000271,0.000005062,7,25826270,1382899,?a,1.01193E-05
?b  ex:birthPlace  ?f  ?a  ex:location  ?f   ,?a  ex:secondDriver  ?b,0.0204461,0.000000037,0.000005108,22,589199304,4307060,?a,1.02134E-05
?b  ex:country  ?f  ?a  ex:locationCountry  ?f   ,?a  ex:owningCompany  ?b,0.0570583,0.000001029,0.000005436,540,524728774,99346164,?a,0.000010871
?a  ex:broadcastArea  ?f  ?b  ex:country  ?f   ,?a  ex:owningCompany  ?b,0.0118343,0.000002056,0.000005588,112,54478397,20042902,?a,1.11707E-05
?a  ex:assembly  ?f  ?b  ex:birthPlace  ?f   ,?a  ex:designCompany  ?b,0.0337187,0.000001007,0.000005689,35,34756536,6151721,?a,1.13761E-05
?b  ex:country  ?f  ?a  ex:residence  ?f   ,?a  ex:employer  ?b,0.0136687,0.000000166,0.000005739,50,300446016,8713005,?a,1.14732E-05
?a  ex:country  ?f  ?b  ex:location  ?f   ,?a  ex:source  ?b,0.0152419,0.000000015,0.000006005,23,1578984168,3830273,?a,1.20053E-05
?a  ex:country  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:deputy  ?b,0.0111016,0.000000009,0.000006277,13,1474613628,2071065,?b,1.25469E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:deputy  ?b,0.0273271,0.000000006,0.000006295,32,5357609746,5083199,?b,1.25871E-05
?b  ex:country  ?f  ?a  ex:deathPlace  ?f   ,?a  ex:militaryUnit  ?b,0.0181712,0.000000147,0.000006302,217,1474613628,34435351,?a,1.25996E-05
