ja,Unique_Entities
0,http://dbpedia.org/property/diseasesdb
1,http://dbpedia.org/property/field
2,http://dbpedia.org/ontology/treatment
3,http://dbpedia.org/property/medication
4,http://dbpedia.org/property/treatment
5,http://dbpedia.org/ontology/medication
6,http://dbpedia.org/ontology/eMedicineSubject
7,http://dbpedia.org/property/class
8,http://dbpedia.org/property/component
9,http://dbpedia.org/property/drugName
10,http://dbpedia.org/ontology/alternativeName
11,http://dbpedia.org/property/name
12,http://dbpedia.org/property/indexLabel
13,http://dbpedia.org/ontology/drugbank
14,http://dbpedia.org/property/type
15,http://dbpedia.org/property/source
16,http://dbpedia.org/property/target
17,http://dbpedia.org/property/drugs.com
18,http://dbpedia.org/property/dailymedid
19,http://dbpedia.org/ontology/wikiPageWikiLink
20,http://dbpedia.org/ontology/license
21,http://dbpedia.org/property/licenceUs
22,http://dbpedia.org/property/licenceEu
23,http://dbpedia.org/property/image
24,http://dbpedia.org/property/chirality
25,http://dbpedia.org/property/caption
26,http://dbpedia.org/property/title
27,http://dbpedia.org/property/specLabel
28,http://dbpedia.org/property/description
29,http://dbpedia.org/property/casNumber
30,http://dbpedia.org/ontology/casNumber
31,http://dbpedia.org/property/number
32,http://dbpedia.org/property/ecNumber
33,http://dbpedia.org/property/family
34,http://dbpedia.org/ontology/relative
35,http://dbpedia.org/property/relatives
36,http://dbpedia.org/property/child
37,http://dbpedia.org/property/siblings
38,http://dbpedia.org/property/siblingNames
39,http://dbpedia.org/ontology/wikiPageID
40,http://dbpedia.org/ontology/product
41,http://dbpedia.org/property/products
42,http://dbpedia.org/ontology/industry
43,http://dbpedia.org/property/industry
44,http://dbpedia.org/ontology/location
45,http://dbpedia.org/property/location
46,http://dbpedia.org/property/otherLocations
47,http://dbpedia.org/ontology/locatedInArea
48,http://dbpedia.org/property/place
49,http://purl.org/dc/terms/subject
50,http://dbpedia.org/property/medicinenet
51,http://dbpedia.org/property/emedicinetopic
52,http://dbpedia.org/ontology/eMedicineTopic
53,http://dbpedia.org/property/emedicine
